date,temp
2008/01/01,45
2008/01/02,18
2008/01/03,18
2008/01/04,59
2008/01/05,85
2008/01/06,78
2008/01/07,90
2008/01/08,78
2008/01/09,87
2008/01/10,104
2008/01/11,110
2008/01/12,86
2008/01/13,92
2008/01/14,91
2008/01/15,101
2008/01/16,99
2008/01/17,97
2008/01/18,123
2008/01/19,124
2008/01/20,125
2008/01/21,110
2008/01/22,93
2008/01/23,103
2008/01/24,103
2008/01/25,92
2008/01/26,113
2008/01/27,97
2008/01/28,96
2008/01/29,71
2008/01/30,73
2008/01/31,73
2008/02/01,79
2008/02/02,62
2008/02/03,48
2008/02/04,83
2008/02/05,115
2008/02/06,108
2008/02/07,81
2008/02/08,117
2008/02/09,124
2008/02/10,134
2008/02/11,141
2008/02/12,141
2008/02/13,34
2008/02/14,50
2008/02/15,52
2008/02/16,42
2008/02/17,84
2008/02/18,80
2008/02/19,54
2008/02/20,48
2008/02/21,99
2008/02/22,108
2008/02/23,109
2008/02/24,118
2008/02/25,109
2008/02/26,121
2008/02/27,104
2008/02/28,113
2008/02/29,101
2008/03/01,113
2008/03/02,125
2008/03/03,86
2008/03/04,81
2008/03/05,79
2008/03/06,88
2008/03/07,102
2008/03/08,103
2008/03/09,92
2008/03/10,81
2008/03/11,120
2008/03/12,94
2008/03/13,105
2008/03/14,109
2008/03/15,135
2008/03/16,101
2008/03/17,86
2008/03/18,93
2008/03/19,83
2008/03/20,88
2008/03/21,71
2008/03/22,64
2008/03/23,59
2008/03/24,59
2008/03/25,54
2008/03/26,57
2008/03/27,88
2008/03/28,106
2008/03/29,132
2008/03/30,113
2008/03/31,141
2008/04/01,119
2008/04/02,116
2008/04/03,102
2008/04/04,117
2008/04/05,95
2008/04/06,81
2008/04/07,99
2008/04/08,100
2008/04/09,126
2008/04/10,126
2008/04/11,134
2008/04/12,136
2008/04/13,134
2008/04/14,117
2008/04/15,109
2008/04/16,100
2008/04/17,117
2008/04/18,123
2008/04/19,120
2008/04/20,171
2008/04/21,185
2008/04/22,181
2008/04/23,195
2008/04/24,178
2008/04/25,157
2008/04/26,207
2008/04/27,221
2008/04/28,157
2008/04/29,149
2008/04/30,159
2008/05/01,149
2008/05/02,165
2008/05/03,198
2008/05/04,217
2008/05/05,220
2008/05/06,238
2008/05/07,255
2008/05/08,251
2008/05/09,263
2008/05/10,274
2008/05/11,263
2008/05/12,269
2008/05/13,260
2008/05/14,266
2008/05/15,234
2008/05/16,152
2008/05/17,123
2008/05/18,155
2008/05/19,145
2008/05/20,168
2008/05/21,195
2008/05/22,213
2008/05/23,229
2008/05/24,233
2008/05/25,181
2008/05/26,156
2008/05/27,220
2008/05/28,258
2008/05/29,212
2008/05/30,203
2008/05/31,195
2008/06/01,224
2008/06/02,288
2008/06/03,237
2008/06/04,211
2008/06/05,178
2008/06/06,251
2008/06/07,230
2008/06/08,267
2008/06/09,265
2008/06/10,233
2008/06/11,186
2008/06/12,145
2008/06/13,160
2008/06/14,163
2008/06/15,177
2008/06/16,178
2008/06/17,211
2008/06/18,203
2008/06/19,203
2008/06/20,204
2008/06/21,226
2008/06/22,266
2008/06/23,187
2008/06/24,225
2008/06/25,245
2008/06/26,224
2008/06/27,209
2008/06/28,227
2008/06/29,222
2008/06/30,228
2008/07/01,277
2008/07/02,312
2008/07/03,200
2008/07/04,218
2008/07/05,244
2008/07/06,233
2008/07/07,194
2008/07/08,187
2008/07/09,192
2008/07/10,199
2008/07/11,209
2008/07/12,190
2008/07/13,196
2008/07/14,230
2008/07/15,205
2008/07/16,202
2008/07/17,175
2008/07/18,206
2008/07/19,199
2008/07/20,176
2008/07/21,159
2008/07/22,205
2008/07/23,232
2008/07/24,260
2008/07/25,281
2008/07/26,288
2008/07/27,282
2008/07/28,279
2008/07/29,249
2008/07/30,272
2008/07/31,298
2008/08/01,234
2008/08/02,244
2008/08/03,208
2008/08/04,213
2008/08/05,236
2008/08/06,270
2008/08/07,216
2008/08/08,206
2008/08/09,226
2008/08/10,227
